LOKASYON_Y;LOKASYON_X;ADI;TELEFON;ADRES;BOLGE_ID;BOLGE;ECZANE_ID;ILCE_ID
27.201600;38.461700;METİN ECZANESİ;02323738771;MANAVKUYU MAH. MUSTAFA KEMAL CAD. NO:132/D;12;BORNOVA 3;476;2056
27.202600;38.461000;AKGÜNES ECZANESİ;02323435673;194 SOK. NO:46/C;12;BORNOVA 3;477;1203
27.196900;38.456600;YENI ISIL ECZANESİ;02323472517;MANSUROGLU MAH. 266 SOKAK NO:10/C BAYRAKLI;12;BORNOVA 3;478;2056
27.190800;38.458600;SEÇKIN ECZANESİ;02323481083;273 SOK.NO:10/C BAYRAKLI;12;BORNOVA 3;479;2056
27.191845;38.459442;IRMAK ECZANESİ;02323473663;MANSUROGLU MAH.SAKARYA CAD.NO:275/2 SOK.NO:2/A  BAYRAKLI;12;BORNOVA 3;480;2056
27.190400;38.458300;AHSEN ECZANESİ;02323480874;MANSUROGLU MAH. 273 SOKAK NO:10-1;12;BORNOVA 3;481;2056
27.125684;38.390564;SAGOL ECZANESİ;02322274155;BOZYAKA MH. COŞKUNKALE SK. NO:20/A;14;BOZYAKA;482;2057
27.122992;38.390452;KALENDER ECZANESİ;02322625932;BOZYAKA MAH. ESKİİZMİR CAD. NO:227;14;BOZYAKA;483;2057
27.118600;38.389200;YENI SEVIL ECZANESİ;02322509565;GÜLYAKA MAH.ESKİİZMİR CD. NO:280/B;14;BOZYAKA;484;2057
27.126200;38.392900;UNCUOGLU ECZANESİ;02322282787;BAHAR MAH. ESKIIZMIR CAD. 531 SK. NO:172/A BOZYAKA;14;BOZYAKA;485;2057
27.127300;38.396000;KİLİMCİTEPE ECZANESİ;02322627289;ESKI IZMIR CAD. NO:97/A BOZYAKA;14;BOZYAKA;486;2057
27.1735714591241;38.3880038411417;HEYKEL;4200527;Uğur Mumcu Cad. 1/B Heykel Meyd.;15;BUCA 1;487;-1
27.173178;38.388260;BUCA ECZANESİ;02324200572;VALİ RAHMİ BEY MAH. UĞUR MUMCU CAD. NO:2;15;BUCA 1;488;1780
27.166600;38.385000;SUDEM ECZANESİ;02324870818;ÖZMEN CAD. NO:118/B;15;BUCA 1;489;1780
27.165400;38.389500;TİRYAKİOĞLU ECZANESİ;02324872082;VALİ RAHMİ BEY MAH. 159/1 SOK. NO:2;15;BUCA 1;490;1780
27.167800;38.384300;ERIM ECZANESİ;02324260210;127 SOK. NO:40/B;15;BUCA 1;491;1780
27.173000;38.382900;HANDAN ECZANESİ;02324405636;ÖZMEN CAD. NO:40;15;BUCA 1;492;1780
27.1709826631813;38.3916326421632;YENİ PELİN;4204948;118 Sok. 26/B İhtiyari Durak Evka 1 Dolmuş Yolu Girişi;15;BUCA 1;493;-1
27.166300;38.385200;ERCİYAS ECZANESİ;02324261577;ÖZMEN CAD. NO:126/A;15;BUCA 1;494;1780
27.166100;38.385400;BUCA NEŞE ECZANESİ;02324877566;ÖZMEN CAD. NO:130;15;BUCA 1;495;1780
27.175300;38.390300;YAYLACIK ECZANESİ;02324409600;YAYLACIK MH. BAŞARI CD. NO:104/A;15;BUCA 1;496;1780
27.2020409327039;38.4380438212967;HALK;4867517;Abdi İpekçi Cad. 171/B Yeşilova;16;ÇAMDİBİ;497;-1
27.1802076964388;38.437842205054;MELİS;4862344;1580/1 Sok. 1/C Mersinli Son Durağı;16;ÇAMDİBİ;498;-1
27.184612;38.437606;BORNOVA ECZANESİ;02324350745;YILDIRIM BEYAZIT MH. BURAK REİS CD. NO:25/A;16;ÇAMDİBİ;499;1203
27.201800;38.438900;YENİ ÖZER ECZANESİ;02324354596;ABDİ İPEKÇİ CD. 173 SK. NO:70/A;16;ÇAMDİBİ;500;1203
27.199842;38.440159;BURAK REİS ECZANESİ;02324866493;RAFET PAŞA MH. 5256 SK. NO:11B;16;ÇAMDİBİ;501;1203
27.202857;38.433929;MİHRİBAN ECZANESİ;02324610073;YEŞİLOVA MAH. ABDİ İPEKÇİ CAD. NO:102/A BORNOVA;16;ÇAMDİBİ;502;1203
27.065500;38.492800;GÜMÜSIGNE ECZANESİ;02323861337;KÖYIÇI MAH. DERE CAD. NO:16  ÇIGLI-IZMIR;17;ÇİĞLİ;503;2007
27.0556841524842;38.4933507513237;YENİ GÜLCE;3290005;Eski Havaalanı Cad. 64/B;17;ÇİĞLİ;504;-1
27.070774;38.475292;SOYSAL ECZANESİ;02323291533;MAVİŞEHİR MAH. CAHER DUDAYEV BULV. NO:28/D;78;KARŞIYAKA 3;505;1448
27.055900;38.496000;EGECAN ECZANESİ;02323760806;8034 SOKAK NO:53/A;17;ÇİĞLİ;506;2007
27.053655;38.487735;DILAY ECZANESİ;02323295687;8229/1 SOKAK NO:17 ATAŞEHİR ÇİĞLİ;17;ÇİĞLİ;507;2007
27.063600;38.493100;ÇIGLI ECZANESİ;02323765163;ANADOLU CAD. NO:812/BÇIGLI/IZMIR;17;ÇİĞLİ;508;2007
27.061500;38.497100;SOYDER ECZANESİ;02323864099;8050 SOKAK NO:26/A     ÇIGLI-IZMIR;17;ÇİĞLİ;509;2007
27.055500;38.499900;TEMEL ECZANESİ;02323293875;YENİ MH. ESKİ HAVAALANI CD. NO:74/B;17;ÇİĞLİ;510;2007
27.062700;38.493700;YESIM ECZANESİ;02323291731;ANADOLU CAD. NO:830/B;17;ÇİĞLİ;511;2007
27.0555140941493;38.5000780089912;KÜÇÜK ÇİĞLİ;3291020;Anadolu Cad. 956/B Santral Durağı;17;ÇİĞLİ;512;-1
27.063100;38.486800;ATIL ECZANESİ;02323942030;ISTASYON ALTI MAH. 8258/2 SOKAK NO:2/C    ÇIGLI-IZMIR;17;ÇİĞLİ;513;2007
27.107200;38.372200;SAHIN ECZANESİ;02322712532;ESKIIZIMIR CAD.NO.640/A ESKIIZIMIR KARABAGLAR-IZMIR;102;ESKİİZMİR-CENNETÇEŞME;514;2057
27.098900;38.352400;DORUK ECZANESİ;02322721676;3965 SOK. NO:1 UZUNDERE;102;ESKİİZMİR-CENNETÇEŞME;515;2057
27.128100;38.406900;ESREFPASA ECZANESİ;02322281837;464 SOK. NO:4/A ESREFPASA;20;EŞREFPAŞA ;516;1819
27.1326976220249;38.3973620834784;SERAL;2565339;Zafertepe Mh 614/3 Sk. No:19/A Yeşillik Cad. Yağhaneler Eşrefpaşa Çocuk Bürosu Sokağı;20;EŞREFPAŞA ;517;-1
27.128300;38.407900;YENI SIMAY ECZANESİ;02322566674;ESREFPASA CAD. NO:290/A KONAK;20;EŞREFPAŞA ;518;1819
27.128400;38.408100;İPEKGÜL ECZANESİ;02322509525;ESREFPASA CAD.NO.266/A ESREFPASA KONAK-IZMIR;20;EŞREFPAŞA ;519;1819
27.126800;38.406100;BURKAY ECZANESİ;02322623491;ATİLA MH. 464 SK.NO.41;20;EŞREFPAŞA ;520;1819
27.187600;38.391200;RUŞEN ECZANESİ;02324421022;1107 SOK. NO:8/A EVKA 1;45;EVKA 1;521;1780
27.133211;38.317425;YENİ ÇETİNER ECZANESİ;02322520910;ATIF BEY MH. PROF. DR. TÜRKAN SAYLAN CD. NO:11/A;22;GAZİEMİR;522;2009
27.133211;38.317871;YIGIT ECZANESİ;02322523008;ATIF BEY MH. PROF. DR. TÜRKAN SAYLAN CD. NO:12/A;22;GAZİEMİR;523;2009
27.128000;38.322099;AREN ECZANESİ;02322522637;GAZİ MH. 14 SK. NO:4/A;22;GAZİEMİR;524;2009
27.136319;38.322928;ANDAÇ ECZANESİ;02322518651;ATIF BEY MAH. MERTLER CAD. NO:6/A GAZİEMİR;22;GAZİEMİR;525;2009
27.125379;38.321229;GAZİEMİR ECZANESİ;02322510995;GAZİ MH. HASAN GÜVEN CD. NO:12;22;GAZİEMİR;526;2009
27.130900;38.316800;ŞENTÜRK  ECZANESİ;02322522756;ABDÜLHAMİT YAVUZ CD. 38/C;22;GAZİEMİR;527;2009
27.129702;38.329537;DORA ECZANESİ;02322521320;IRMAK MAH. HASAN GÜVEN CAD. NO:99/A;22;GAZİEMİR;528;2009
27.1296281421856;38.3293927794346;YENİ EGE;2744536;Emlak Bankası Kontrl. 73 Sk. No:7A/A7 Blok Hava lojmanları karşısı;22;GAZİEMİR;529;-1
27.13551037759;38.3251729920807;ÖZGÜNEŞ;2510990;Önder Cad.No 97/A;22;GAZİEMİR;530;-1
27.132189;38.325695;AKIN (VERESELİ) ECZANESİ;02322510064;GAZİ MAH. KEMAL REİS CAD. NO:26/B;22;GAZİEMİR;531;2009
27.147100;38.376400;ARZU TAN ECZANESİ;02322755965;FIRAT MAH.287/3 SOK. NO:11;23;GEDİZ;532;1780
27.143100;38.368300;SENER ECZANESİ;02322765700;649/7 SK. NO:30 GÖKSU MAH.;23;GEDİZ;533;1780
27.142700;38.361400;KÜRÜM ECZANESİ;02322758146;İNÖNÜ MH. 670/1 SOK. NO:42/A;23;GEDİZ;534;1780
27.145100;38.361800;YENİ GÜLTEKİN ECZANESİ;02322762388;682 SOK. NO:13 GEDIZ;23;GEDİZ;535;1780
27.148400;38.376700;BODUR ECZANESİ;02322766090;FIRAT MAH. 289 SK. NO:37/2A;23;GEDİZ;536;1780
27.148418;38.367856;SEDEF ECZANESİ;02322767000;YEŞİLBAĞLAR MAHALLESİ 637/4 SOKAK NO:(103-107)B;23;GEDİZ;537;1780
27.166400;38.412600;FERAHLI ECZANESİ;02324332764;3480 SK. 128/1-A FERAHLI LEVENT SON DURAK ;25;GÜLTEPE;538;1819
27.166421;38.419217;BAKILER ECZANESİ;02324339090;LEVENT MH. 3483 SK. NO.3/A;25;GÜLTEPE;539;1819
